ID: Dato
--------
0 7
1 49
2 73
3 58
4 30
5 72
6 44
7 78
8 23
9 9
10 40
11 65
12 92
13 42
14 87
15 3
16 27
17 29
18 40
19 12
20 3
21 69
22 9
23 57
24 60
25 33
26 99
27 78
28 16
29 35
30 97
31 26
32 12
33 67
34 10
35 33
36 79
37 49
38 79
39 21
40 67
41 72
42 93
43 36
44 85
45 45
46 28
47 91
48 94
49 57
50 1
51 53
52 8
53 44
54 68
55 90
56 24
57 96
58 30
59 3
60 22
61 66
62 49
63 24
64 1
65 53
66 77
67 8
68 28
69 33
70 98
71 81
72 35
73 13
74 65
75 14
76 63
77 36
78 25
79 69
80 15
81 94
82 29
83 1
84 17
85 95
86 5
87 4
88 51
89 98
90 88
91 23
92 5
93 82
94 52
95 66
96 16
97 37
98 38
99 44
